trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",35,7,-152.87601204170824,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 3}",1
2,False,"{'a': 0.5, 'e': 0.998001}",30,0,-167.76594830854074,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.997002999}",20,0,-159.45845955126654,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.996005996001}",20,0,-139.9332986413928,"{0: 7, 1: 4, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.995009990004999}",20,0,-34.32468674705277,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.994014980014994}",20,2,-153.20832761443702,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 4}",1
7,False,"{'a': 0.5, 'e': 0.993020965034979}",20,0,-206.20971130814428,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.9920279440699441}",20,0,-139.15087519113783,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9910359161258742}",20,0,-148.12200493912113,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9900448802097482}",20,0,-83.94113131211068,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9890548353295385}",25,0,-44.1571291595318,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.988065780494209}",20,0,-134.77654234467218,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9870777147137147}",30,0,-167.08868718356916,"{0: 17, 1: 6, 2: 3, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.986090636999001}",25,0,-220.40393325588667,"{0: 13, 1: 4, 2: 2, 3: 2, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.9851045463620021}",20,0,-97.47211294038179,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.98411944181564}",25,0,-60.79305960985957,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9831353223738244}",20,0,-198.2815175507018,"{0: 5, 1: 7, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.9821521870514506}",25,0,-147.80668408415957,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9811700348643991}",25,0,-167.92524460275843,"{0: 9, 1: 4, 2: 9, 3: 3, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9801888648295347}",25,0,-85.94326917165351,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9792086759647052}",20,0,-39.38117921238672,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
