trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-135.3102905266998,"{0: 18, 1: 7, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-78.83935934286654,"{0: 16, 1: 9, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.61365356959092,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-192.77514085878872,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-158.40307868307534,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-177.31501010317567,"{0: 8, 1: 1, 2: 8, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-92.72908830623106,"{0: 12, 1: 6, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,16,6.590685148190433,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,7,-82.13718606792636,"{0: 6, 1: 4, 2: 1, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.23062148514593,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,9,-5.38281307521305,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.23445964545444,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-195.77353764841868,"{0: 13, 1: 5, 2: 9, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.60323543775851,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.54446985064152,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.83305595668992,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.88092913271777,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-52.70427366051493,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.42391918312632,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,25,3.745311986565685,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-167.03370151029247,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-43.93189311865288,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-64.00585724673441,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-206.009800928248,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-71.24903740635335,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-128.69229544677708,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.94215562637639,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-92.5541307343443,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.81912069236266,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-40.53914273323425,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
