trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-100.78505193792765,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-103.98728798144658,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-123.40810815939732,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-171.97466130883194,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,15,1.6969575546986015,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-105.4137213958371,"{0: 15, 1: 1, 2: 0, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-185.49806354783473,"{0: 7, 1: 4, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-79.43575815486882,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,2,-162.38182659412104,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 4}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-103.6104179280331,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-74.53254952209828,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-115.18437502224685,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-69.80255604948617,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-21.60147661483614,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-65.56441855093877,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,12,-15.935936802365484,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,9,11.18887927029587,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,20.472213471015902,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-16.17298725655397,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-15.450077196249088,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,7,15.206451727842705,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,4,-21.75640405569387,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,3,22.0480708531982,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,8,18.8282250293025,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,3,-22.300971580153366,"{0: 24, 1: 0, 2: 1, 3: 2, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,9.496740790685738,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",35,0,40.61808546520897,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,16,6.666063546887099,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,15,-14.27830845605925,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,8,15.806202971911572,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
